retrodb_id	organism_name	parental_accession	potential_parentals	chromosome	start	end	strand	status	external_id	inside_intron_of	aliases	percent_identity	
retro_hsap_445	homo_sapiens	ENSG00000111640		1	120138792	120139732	-	KNOWN_PSEUDOGENE	ENSG00000240244			69.62	
retro_hsap_446	homo_sapiens	ENSG00000108518		1	144612264	144612663	-	KNOWN_PSEUDOGENE	ENSG00000203843	ENSG00000225241		76.69	
retro_hsap_447	homo_sapiens	ENSG00000108518		1	146392453	146392852	-	KNOWN_PSEUDOGENE	ENSG00000244371	ENSG00000186275		73.68	
retro_hsap_448	homo_sapiens	ENSG00000138385		1	146553889	146554501	-	KNOWN_PSEUDOGENE	ENSG00000230832	ENSG00000227242		87.92	
retro_hsap_449	homo_sapiens	ENSG00000156261		1	146675152	146676513	-	KNOWN_PSEUDOGENE	ENSG00000226015	ENSG00000237188		94.29	
retro_hsap_450	homo_sapiens	ENSG00000108518		1	148574652	148575051	-	KNOWN_PSEUDOGENE	ENSG00000227212	ENSG00000243452		74.44	
retro_hsap_451	homo_sapiens	ENSG00000108518		1	148736688	148737087	-	KNOWN_PSEUDOGENE	ENSG00000237533			74.44	
retro_hsap_452	homo_sapiens	ENSG00000078967		1	149340660	149340978	-	KNOWN_PSEUDOGENE	ENSG00000237503	ENSG00000253193		75.23	
retro_hsap_453	homo_sapiens	ENSG00000078967		1	149725851	149726170	-	KNOWN_PSEUDOGENE	ENSG00000226500			75.93	
retro_hsap_454	homo_sapiens	ENSG00000130021		1	152097079	152097589	-	KNOWN_PSEUDOGENE	ENSG00000233792			82.35	
retro_hsap_455	homo_sapiens	ENSG00000092208		1	153689792	153690296	-	KNOWN_PSEUDOGENE	ENSG00000235015			77.91	
retro_hsap_456	homo_sapiens	ENSG00000099341		1	154386845	154387686	-	KNOWN_PSEUDOGENE	ENSG00000228264	ENSG00000160712		85.87	
retro_hsap_457	homo_sapiens	ENSG00000122692		1	157029025	157030554	-	KNOWN_PSEUDOGENE	ENSG00000237842			94.92	
retro_hsap_458	homo_sapiens	ENSG00000213585		1	157694305	157694811	-	KNOWN_PSEUDOGENE	ENSG00000232366			65.29	
retro_hsap_459	homo_sapiens	ENSG00000118985		1	158145639	158147520	-	KNOWN_PSEUDOGENE	ENSG00000227295			90.14	
retro_hsap_460	homo_sapiens	ENSG00000124614		1	158165420	158165920	-	KNOWN_PSEUDOGENE	ENSG00000229914			78.57	
retro_hsap_461	homo_sapiens	ENSG00000071082		1	161654641	161654999	-	KNOWN_PSEUDOGENE	ENSG00000213075		RPL31P11, RPL31_1_108	88.52	
retro_hsap_462	homo_sapiens	ENSG00000269083	ENSG00000131174	1	162949343	162949583	-	KNOWN_PSEUDOGENE	ENSG00000227667			72.5	
retro_hsap_463	homo_sapiens	ENSG00000182944		1	166244868	166246129	-	KNOWN_PSEUDOGENE	ENSG00000215835			88.89	
retro_hsap_464	homo_sapiens	ENSG00000182774	ENSG00000184779	1	167131720	167132074	-	KNOWN_PSEUDOGENE	ENSG00000213068			78.33	
retro_hsap_465	homo_sapiens	ENSG00000140905		1	168025141	168025660	-	KNOWN_PSEUDOGENE	ENSG00000224837	ENSG00000143164		100	
retro_hsap_466	homo_sapiens	ENSG00000130348		1	168419670	168420449	-	KNOWN_PSEUDOGENE	ENSG00000215833			82.09	
retro_hsap_467	homo_sapiens	ENSG00000148303	ENSG00000260501	1	168547897	168548553	-	KNOWN_PSEUDOGENE	ENSG00000229757	ENSG00000143184		66.97	
retro_hsap_468	homo_sapiens	ENSG00000136003		1	170180150	170180461	-	KNOWN_PSEUDOGENE	ENSG00000238051	ENSG00000233985		61.32	
retro_hsap_469	homo_sapiens	ENSG00000092036		1	170338618	170339253	-	KNOWN_PSEUDOGENE	ENSG00000226967			86.85	
retro_hsap_470	homo_sapiens	ENSG00000189403		1	171240200	171240727	-	KNOWN_PSEUDOGENE	ENSG00000230547	ENSG00000010932		87.57	
retro_hsap_471	homo_sapiens	ENSG00000174444		1	171652571	171653330	-	KNOWN_PSEUDOGENE	ENSG00000230364			87.35	
retro_hsap_472	homo_sapiens	ENSG00000137818		1	171793768	171794101	-	KNOWN_PSEUDOGENE	ENSG00000224600			58.93	
retro_hsap_473	homo_sapiens	ENSG00000125166		1	173110241	173110889	-	KNOWN_PSEUDOGENE	ENSG00000230849			84.72	
retro_hsap_474	homo_sapiens	ENSG00000166037		1	173332108	173332878	-	KNOWN_PSEUDOGENE	ENSG00000231615			72.69	
retro_hsap_475	homo_sapiens	ENSG00000156482		1	174059280	174059610	-	KNOWN_PSEUDOGENE	ENSG00000225713			77.27	
retro_hsap_476	homo_sapiens	ENSG00000122068		1	174336243	174336827	-	KNOWN_PSEUDOGENE	ENSG00000237317	ENSG00000152061		76.65	
retro_hsap_477	homo_sapiens	ENSG00000123545		1	174818853	174819306	-	KNOWN_PSEUDOGENE	ENSG00000231378	ENSG00000152061		82.12	
retro_hsap_478	homo_sapiens	ENSG00000167526		1	176200334	176200966	-	KNOWN_PSEUDOGENE	ENSG00000232463			75.47	
retro_hsap_479	homo_sapiens	ENSG00000112245		1	176585406	176585919	-	KNOWN_PSEUDOGENE	ENSG00000237514	ENSG00000116183		85.38	
retro_hsap_480	homo_sapiens	ENSG00000175354		1	178715820	178716818	-	KNOWN_PSEUDOGENE	ENSG00000228196	ENSG00000116191		91.96	
retro_hsap_481	homo_sapiens	ENSG00000197728		1	179004444	179004787	-	KNOWN_PSEUDOGENE	ENSG00000232750	ENSG00000116199		80.34	
retro_hsap_482	homo_sapiens	ENSG00000135486		1	179425364	179426060	-	KNOWN_PSEUDOGENE	ENSG00000236539	ENSG00000162779		87.5	
retro_hsap_483	homo_sapiens	ENSG00000111057		1	182928211	182929497	-	KNOWN_PSEUDOGENE	ENSG00000176855			81.44	
retro_hsap_484	homo_sapiens	ENSG00000167996		1	185040696	185041087	-	KNOWN_PSEUDOGENE	ENSG00000232792	ENSG00000121481		58.65	
retro_hsap_485	homo_sapiens	ENSG00000116251		1	185140468	185140842	-	KNOWN_PSEUDOGENE	ENSG00000231084	ENSG00000116668		72.73	
retro_hsap_486	homo_sapiens	ENSG00000122406		1	185195939	185196832	-	KNOWN_PSEUDOGENE	ENSG00000213051	ENSG00000116668		86.29	
retro_hsap_487	homo_sapiens	ENSG00000140941		1	185302037	185302412	-	NOVEL				64.29	
retro_hsap_488	homo_sapiens	ENSG00000163138		1	186549927	186550353	-	KNOWN_PSEUDOGENE	ENSG00000233196			55.94	
retro_hsap_489	homo_sapiens	ENSG00000111640		1	189101762	189102420	-	KNOWN_PSEUDOGENE	ENSG00000226196			68.47	
retro_hsap_490	homo_sapiens	ENSG00000198242		1	193725942	193726397	-	KNOWN_PSEUDOGENE	ENSG00000237213			68.55	
retro_hsap_491	homo_sapiens	ENSG00000165669		1	197716063	197716581	-	KNOWN_PSEUDOGENE	ENSG00000233040	ENSG00000213047		77.01	
retro_hsap_492	homo_sapiens	ENSG00000089220		1	198648696	198649162	-	KNOWN_PSEUDOGENE	ENSG00000236278	ENSG00000081237		78.62	
retro_hsap_493	homo_sapiens	ENSG00000164346		1	203626351	203626768	-	KNOWN_PSEUDOGENE	ENSG00000236035	ENSG00000058668		87.77	
retro_hsap_494	homo_sapiens	ENSG00000086065		1	203774748	203775362	-	KNOWN_PSEUDOGENE	ENSG00000227417	ENSG00000058673		83.81	
retro_hsap_495	homo_sapiens	ENSG00000115541		1	203872856	203873141	-	KNOWN_PSEUDOGENE	ENSG00000232917			90.91	
retro_hsap_496	homo_sapiens	ENSG00000122026		1	204315906	204316386	-	KNOWN_PSEUDOGENE	ENSG00000219133	ENSG00000143850		96.25	
retro_hsap_497	homo_sapiens	ENSG00000162517		1	204497975	204498820	-	KNOWN_PSEUDOGENE	ENSG00000236779	ENSG00000198625		83.28	
retro_hsap_498	homo_sapiens	ENSG00000197728		1	208870699	208871043	-	KNOWN_PSEUDOGENE	ENSG00000227887			88.79	
retro_hsap_499	homo_sapiens	ENSG00000135390		1	209441145	209441679	-	KNOWN_PSEUDOGENE	ENSG00000225712			82.02	
retro_hsap_500	homo_sapiens	ENSG00000100380		1	210440012	210440584	-	KNOWN_PSEUDOGENE	ENSG00000228110			92.23	
retro_hsap_501	homo_sapiens	ENSG00000205339		1	211033167	211034894	-	KNOWN_PSEUDOGENE	ENSG00000224668	ENSG00000143473		86.7	
retro_hsap_502	homo_sapiens	ENSG00000160752		1	211833533	211834618	-	KNOWN_PSEUDOGENE	ENSG00000224763			79.67	
retro_hsap_503	homo_sapiens	ENSG00000122026		1	212224868	212225348	-	KNOWN_PSEUDOGENE	ENSG00000220749	ENSG00000143476	RPL21P28, RPL21_8_160	99.38	
retro_hsap_504	homo_sapiens	ENSG00000198242		1	212482392	212482860	-	KNOWN_PSEUDOGENE	ENSG00000225338	ENSG00000066027		92.95	
retro_hsap_505	homo_sapiens	ENSG00000233927		1	213028516	213028708	-	KNOWN_PSEUDOGENE	ENSG00000236317	ENSG00000198468		74.63	
retro_hsap_506	homo_sapiens	ENSG00000071082		1	213602059	213602407	-	KNOWN_PSEUDOGENE	ENSG00000228646			66.38	
retro_hsap_507	homo_sapiens	ENSG00000177879		1	214656152	214656730	-	KNOWN_PSEUDOGENE	ENSG00000213036	ENSG00000152104		94.33	
retro_hsap_508	homo_sapiens	ENSG00000058673		1	219782971	219785404	-	KNOWN_PSEUDOGENE	ENSG00000215817			91.74	
retro_hsap_509	homo_sapiens	ENSG00000134419		1	220317302	220317692	-	KNOWN_PSEUDOGENE	ENSG00000232134	ENSG00000067704		92.31	
retro_hsap_510	homo_sapiens	ENSG00000087586		1	220440224	220441255	-	KNOWN_PSEUDOGENE	ENSG00000213033	ENSG00000118873		91.01	
retro_hsap_511	homo_sapiens	ENSG00000196419		1	220487279	220488408	-	KNOWN_PSEUDOGENE	ENSG00000230318			79.68	
retro_hsap_512	homo_sapiens	ENSG00000089157		1	220490315	220490941	-	KNOWN_PSEUDOGENE	ENSG00000232883			84.58	
retro_hsap_513	homo_sapiens	ENSG00000175782		1	221723129	221723864	-	KNOWN_PSEUDOGENE	ENSG00000227585			58	
retro_hsap_514	homo_sapiens	ENSG00000130348		1	222435174	222436137	-	KNOWN_PSEUDOGENE	ENSG00000227613	ENSG00000236230		82.82	
retro_hsap_515	homo_sapiens	ENSG00000123349		1	222814761	222815200	-	KNOWN_PSEUDOGENE	ENSG00000229399	ENSG00000154305		73.68	
retro_hsap_516	homo_sapiens	ENSG00000182004		1	223831813	223832085	-	KNOWN_PSEUDOGENE	ENSG00000227002	ENSG00000203697		77.42	
retro_hsap_517	homo_sapiens	ENSG00000167085		1	224044283	224045089	-	KNOWN_PSEUDOGENE	ENSG00000227621			89.01	
retro_hsap_518	homo_sapiens	ENSG00000075624		1	224051810	224052553	-	KNOWN_PSEUDOGENE	ENSG00000188460			88.35	
retro_hsap_519	homo_sapiens	ENSG00000105993		1	224848874	224849434	-	KNOWN_PSEUDOGENE	ENSG00000234247	ENSG00000143786		66.32	
retro_hsap_520	homo_sapiens	ENSG00000109475		1	226376672	226376922	-	KNOWN_PSEUDOGENE	ENSG00000223570			71.91	
retro_hsap_521	homo_sapiens	ENSG00000069275		1	227598341	227599020	-	KNOWN_PSEUDOGENE	ENSG00000232864	ENSG00000234277		63.45	
retro_hsap_522	homo_sapiens	ENSG00000166797		1	228302698	228303157	-	KNOWN_PSEUDOGENE	ENSG00000224566			82.47	
retro_hsap_523	homo_sapiens	ENSG00000233927		1	228322486	228322693	-	KNOWN_PSEUDOGENE	ENSG00000227625			73.91	
retro_hsap_524	homo_sapiens	ENSG00000122203		1	229824746	229825651	-	KNOWN_PSEUDOGENE	ENSG00000213028			80.84	
retro_hsap_525	homo_sapiens	ENSG00000189403		1	229840994	229841610	-	KNOWN_PSEUDOGENE	ENSG00000225984			78.57	
retro_hsap_526	homo_sapiens	ENSG00000138326		1	230747754	230748158	-	KNOWN_PSEUDOGENE	ENSG00000235817			77.21	
retro_hsap_527	homo_sapiens	ENSG00000196262		1	231253582	231254071	-	KNOWN_PSEUDOGENE	ENSG00000229595			78.18	
retro_hsap_528	homo_sapiens	ENSG00000171863		1	233424611	233425193	-	KNOWN_PSEUDOGENE	ENSG00000231940	ENSG00000135749		91.75	
retro_hsap_529	homo_sapiens	ENSG00000143727		1	233971825	233972165	-	KNOWN_PSEUDOGENE	ENSG00000225486			88.6	
retro_hsap_530	homo_sapiens	ENSG00000115268		1	234492452	234492887	-	KNOWN_PSEUDOGENE	ENSG00000235605			92.41	
retro_hsap_531	homo_sapiens	ENSG00000175166		1	240307042	240308674	-	KNOWN_PSEUDOGENE	ENSG00000228818	ENSG00000155816		90.31	
retro_hsap_532	homo_sapiens	ENSG00000135002		1	240986316	240986733	-	KNOWN_PSEUDOGENE	ENSG00000215802	ENSG00000182901		80.58	
retro_hsap_533	homo_sapiens	ENSG00000137818		1	241161873	241162094	-	KNOWN_PSEUDOGENE	ENSG00000238085	ENSG00000182901		85.33	
retro_hsap_534	homo_sapiens	ENSG00000130255		1	241468910	241469189	-	KNOWN_PSEUDOGENE	ENSG00000224348	ENSG00000182901		64.95	
retro_hsap_535	homo_sapiens	ENSG00000119616		1	243430959	243431421	-	KNOWN_PSEUDOGENE	ENSG00000224727	ENSG00000054282		88.31	
retro_hsap_536	homo_sapiens	ENSG00000164434		1	243787963	243788320	-	KNOWN_PSEUDOGENE	ENSG00000226766	ENSG00000117020		72.73	
retro_hsap_537	homo_sapiens	ENSG00000145592		1	244857734	244858022	-	KNOWN_PSEUDOGENE	ENSG00000232059	ENSG00000121644		87.63	
retro_hsap_538	homo_sapiens	ENSG00000205981		1	245446132	245446380	-	KNOWN_PSEUDOGENE	ENSG00000232793	ENSG00000162849		80.95	
retro_hsap_539	homo_sapiens	ENSG00000139197		1	247347749	247348730	-	KNOWN_PSEUDOGENE	ENSG00000215795			76.2	
retro_hsap_540	homo_sapiens	ENSG00000179335		1	248099314	248100329	-	KNOWN_PSEUDOGENE	ENSG00000226191			63.92	
retro_hsap_541	homo_sapiens	ENSG00000134748		10	8203222	8204157	+	KNOWN_PSEUDOGENE	ENSG00000225053			85.62	
retro_hsap_542	homo_sapiens	ENSG00000106554		10	8661895	8662573	+	KNOWN_PSEUDOGENE	ENSG00000236420			79.82	
retro_hsap_543	homo_sapiens	ENSG00000203907		10	8765972	8766251	+	KNOWN_PSEUDOGENE	ENSG00000270234			68.42	
retro_hsap_544	homo_sapiens	ENSG00000102898		10	13912796	13913144	+	KNOWN_PSEUDOGENE	ENSG00000215227	ENSG00000151474		62.07	
retro_hsap_545	homo_sapiens	ENSG00000134748		10	17619283	17619753	+	KNOWN_PSEUDOGENE	ENSG00000236582			89.87	
retro_hsap_546	homo_sapiens	ENSG00000156709		10	19026271	19027229	+	KNOWN_PSEUDOGENE	ENSG00000225509			75.31	
retro_hsap_547	homo_sapiens	ENSG00000123505		10	20639162	20640029	+	KNOWN_PSEUDOGENE	ENSG00000228339			72.7	
retro_hsap_548	homo_sapiens	ENSG00000071082		10	22555919	22556271	+	KNOWN_PSEUDOGENE	ENSG00000233318			75.21	
retro_hsap_549	homo_sapiens	ENSG00000164924		10	23425852	23426587	+	KNOWN_PSEUDOGENE	ENSG00000229932			97.55	
retro_hsap_550	homo_sapiens	ENSG00000089063		10	23547124	23547417	+	KNOWN_PSEUDOGENE	ENSG00000227537			77.78	
retro_hsap_551	homo_sapiens	ENSG00000163002		10	24446763	24447674	+	KNOWN_PSEUDOGENE	ENSG00000223928	ENSG00000120549		83.39	
retro_hsap_552	homo_sapiens	ENSG00000144034		10	28947921	28948381	+	KNOWN_PSEUDOGENE	ENSG00000231911			78.71	
retro_hsap_553	homo_sapiens	ENSG00000155438		10	30669227	30669994	+	KNOWN_PSEUDOGENE	ENSG00000214434			85.33	
retro_hsap_554	homo_sapiens	ENSG00000189403		10	32202076	32202462	+	KNOWN_PSEUDOGENE	ENSG00000231148	ENSG00000165322		66.92	
retro_hsap_555	homo_sapiens	ENSG00000147853		10	33233344	33233875	+	KNOWN_PSEUDOGENE	ENSG00000228816	ENSG00000150093		78.45	
retro_hsap_556	homo_sapiens	ENSG00000125691		10	34153240	34153651	+	KNOWN_PSEUDOGENE	ENSG00000226407			60.99	
retro_hsap_557	homo_sapiens	ENSG00000008324		10	35164137	35164329	+	KNOWN_PSEUDOGENE	ENSG00000232525			92.19	
retro_hsap_558	homo_sapiens	ENSG00000147604		10	35986222	35986964	+	KNOWN_PSEUDOGENE	ENSG00000226646			86	
retro_hsap_559	homo_sapiens	ENSG00000170540		10	37284142	37284515	+	KNOWN_PSEUDOGENE	ENSG00000225355			86.51	
retro_hsap_560	homo_sapiens	ENSG00000164180		10	37626345	37627799	+	KNOWN_PSEUDOGENE	ENSG00000237970	ENSG00000148513		88.73	
retro_hsap_561	homo_sapiens	ENSG00000133627		10	38989727	38990697	+	KNOWN_PSEUDOGENE	ENSG00000227264		ACTR3BP5, FKSG74	76.36	
retro_hsap_562	homo_sapiens	ENSG00000137726		10	43050887	43051172	+	KNOWN_PSEUDOGENE	ENSG00000270762			80	
retro_hsap_563	homo_sapiens	ENSG00000122026		10	44126394	44126862	+	KNOWN_PSEUDOGENE	ENSG00000238263	ENSG00000223910		79.75	
retro_hsap_564	homo_sapiens	ENSG00000173660		10	44227781	44228054	+	KNOWN_PSEUDOGENE	ENSG00000224162			82.8	
retro_hsap_565	homo_sapiens	ENSG00000144895		10	45301894	45303421	+	KNOWN_PSEUDOGENE	ENSG00000227395			64.72	
retro_hsap_566	homo_sapiens	ENSG00000258873		10	45551102	45551714	+	KNOWN_PSEUDOGENE	ENSG00000270258	ENSG00000226937		83.17	
retro_hsap_567	homo_sapiens	ENSG00000184545		10	46773810	46774793	+	KNOWN_PSEUDOGENE	ENSG00000215097	ENSG00000227194		82.74	
retro_hsap_568	homo_sapiens	ENSG00000106615		10	46914150	46914702	+	KNOWN_PSEUDOGENE	ENSG00000229927	ENSG00000165874		98.91	
retro_hsap_569	homo_sapiens	ENSG00000184545		10	47254610	47255608	+	KNOWN_PSEUDOGENE	ENSG00000215065	ENSG00000232567		82.11	
retro_hsap_570	homo_sapiens	ENSG00000106615		10	47396222	47396775	+	KNOWN_PSEUDOGENE	ENSG00000226964	ENSG00000189014		98.38	
retro_hsap_571	homo_sapiens	ENSG00000101444		10	47594841	47595653	+	KNOWN_PSEUDOGENE	ENSG00000215044			76.73	
retro_hsap_572	homo_sapiens	ENSG00000184545		10	48963545	48964528	+	KNOWN_PSEUDOGENE	ENSG00000213686	ENSG00000227781		82.74	
retro_hsap_573	homo_sapiens	ENSG00000122026		10	51023199	51023602	+	KNOWN_PSEUDOGENE	ENSG00000229870			64.58	
retro_hsap_574	homo_sapiens	ENSG00000077380		10	52024866	52026572	+	KNOWN_PSEUDOGENE	ENSG00000225137			97.72	
retro_hsap_575	homo_sapiens	ENSG00000148484		10	53079636	53080417	+	KNOWN_PSEUDOGENE	ENSG00000213659	ENSG00000185532		71.97	
retro_hsap_576	homo_sapiens	ENSG00000182004		10	54798123	54798306	+	KNOWN_PSEUDOGENE	ENSG00000231399			56.45	
retro_hsap_577	homo_sapiens	ENSG00000234545		10	60475614	60476019	+	KNOWN_PSEUDOGENE	ENSG00000183055	ENSG00000122870		72.06	
retro_hsap_578	homo_sapiens	ENSG00000147687		10	64981914	64982805	+	KNOWN_PSEUDOGENE	ENSG00000234369	ENSG00000171988		94.28	
retro_hsap_579	homo_sapiens	ENSG00000169230		10	65187056	65187703	+	KNOWN_PSEUDOGENE	ENSG00000235816	ENSG00000171988		81.11	
retro_hsap_580	homo_sapiens	ENSG00000182718		10	66585316	66586338	+	KNOWN_PSEUDOGENE	ENSG00000216740			84.1	
retro_hsap_581	homo_sapiens	ENSG00000198074		10	69510041	69510987	+	KNOWN_PSEUDOGENE	ENSG00000213606			90.57	
retro_hsap_582	homo_sapiens	ENSG00000122026		10	69553529	69554005	+	KNOWN_PSEUDOGENE	ENSG00000225922			71.43	
retro_hsap_583	homo_sapiens	ENSG00000205981		10	69593520	69593790	+	KNOWN_PSEUDOGENE	ENSG00000237141	ENSG00000108176		86.67	
retro_hsap_584	homo_sapiens	ENSG00000197958		10	69634177	69634648	+	KNOWN_PSEUDOGENE	ENSG00000219932			94.9	
retro_hsap_585	homo_sapiens	ENSG00000171345		10	70020368	70021256	+	KNOWN_PSEUDOGENE	ENSG00000234102			64.12	
retro_hsap_586	homo_sapiens	ENSG00000037241	ENSG00000161970	10	70184316	70184751	+	KNOWN_PSEUDOGENE	ENSG00000234806	ENSG00000138346		86.9	
retro_hsap_587	homo_sapiens	ENSG00000203667		10	70392127	70392481	+	KNOWN_PSEUDOGENE	ENSG00000213025	ENSG00000138336		96.61	
retro_hsap_588	homo_sapiens	ENSG00000145425		10	70434105	70434668	+	KNOWN_PSEUDOGENE	ENSG00000227583	ENSG00000138336		79.89	
retro_hsap_589	homo_sapiens	ENSG00000118579		10	70750898	70751424	+	KNOWN_PSEUDOGENE	ENSG00000214875	ENSG00000198954		71.82	
retro_hsap_590	homo_sapiens	ENSG00000122406		10	71538717	71539594	+	KNOWN_PSEUDOGENE	ENSG00000230469			81.82	
retro_hsap_591	homo_sapiens	ENSG00000183137		10	72149181	72150351	+	KNOWN_PSEUDOGENE	ENSG00000224725			96.93	
retro_hsap_592	homo_sapiens	ENSG00000174748		10	73949704	73950055	+	KNOWN_PSEUDOGENE	ENSG00000226701	ENSG00000138303		82.05	
retro_hsap_593	homo_sapiens	ENSG00000156976		10	74960120	74960983	+	KNOWN_PSEUDOGENE	ENSG00000227382	ENSG00000213551		79.66	
retro_hsap_594	homo_sapiens	ENSG00000184545		10	75491654	75493157	+	KNOWN_PSEUDOGENE	ENSG00000235316	ENSG00000250959		77.78	
retro_hsap_595	homo_sapiens	ENSG00000132313		10	76287341	76287903	+	KNOWN_PSEUDOGENE	ENSG00000226253	ENSG00000156110		87.83	
retro_hsap_596	homo_sapiens	ENSG00000168495		10	76414713	76415887	+	KNOWN_PSEUDOGENE	ENSG00000214626	ENSG00000156110		75.56	
retro_hsap_597	homo_sapiens	ENSG00000159199		10	78596221	78596566	+	KNOWN_PSEUDOGENE	ENSG00000224948			86.21	
retro_hsap_598	homo_sapiens	ENSG00000164032		10	79713252	79713637	+	KNOWN_PSEUDOGENE	ENSG00000234612			76.74	
retro_hsap_599	homo_sapiens	ENSG00000112306		10	81303834	81304109	+	KNOWN_PSEUDOGENE	ENSG00000232965			86.02	
retro_hsap_600	homo_sapiens	ENSG00000116251		10	81885696	81886070	+	KNOWN_PSEUDOGENE	ENSG00000230171			77.78	
retro_hsap_601	homo_sapiens	ENSG00000198830		10	85841181	85841352	+	KNOWN_PSEUDOGENE	ENSG00000212769			92.98	
retro_hsap_602	homo_sapiens	ENSG00000145425		10	86320198	86320672	+	KNOWN_PSEUDOGENE	ENSG00000178429			95.03	
retro_hsap_603	homo_sapiens	ENSG00000143727		10	87468516	87468924	+	KNOWN_PSEUDOGENE	ENSG00000236606	ENSG00000182771		70.59	
retro_hsap_604	homo_sapiens	ENSG00000157985		10	88768013	88769653	+	KNOWN_PSEUDOGENE	ENSG00000261011	ENSG00000272508		80.4	
retro_hsap_605	homo_sapiens	ENSG00000197728		10	89402363	89402708	+	KNOWN_PSEUDOGENE	ENSG00000234192	ENSG00000225913		88.7	
retro_hsap_606	homo_sapiens	ENSG00000142676		10	89705254	89705716	+	KNOWN_PSEUDOGENE	ENSG00000213613	ENSG00000171862		74.68	
retro_hsap_607	homo_sapiens	ENSG00000049883		10	90636143	90636865	+	KNOWN_PSEUDOGENE	ENSG00000234256			70.9	
retro_hsap_608	homo_sapiens	ENSG00000088205		10	92813161	92814806	+	KNOWN_PSEUDOGENE	ENSG00000220585	ENSG00000224851		86.64	
retro_hsap_609	homo_sapiens	ENSG00000143252		10	93878414	93878918	+	KNOWN_PSEUDOGENE	ENSG00000214549	ENSG00000107864		88.69	
retro_hsap_610	homo_sapiens	ENSG00000161960		10	93896633	93897473	+	KNOWN_PSEUDOGENE	ENSG00000213484	ENSG00000107864		83.33	
retro_hsap_611	homo_sapiens	ENSG00000145912		10	93976088	93976547	+	KNOWN_PSEUDOGENE	ENSG00000105988	ENSG00000107864		96.08	
retro_hsap_612	homo_sapiens	ENSG00000260501	ENSG00000148303	10	96642320	96643103	+	KNOWN_PSEUDOGENE	ENSG00000225354			67.29	
retro_hsap_613	homo_sapiens	ENSG00000145425		10	97354632	97355133	+	KNOWN_PSEUDOGENE	ENSG00000214362			90.48	
retro_hsap_614	homo_sapiens	ENSG00000181163		10	98319941	98320414	+	KNOWN_PSEUDOGENE	ENSG00000235677	ENSG00000077147		89.38	
retro_hsap_615	homo_sapiens	ENSG00000142541		10	98510044	98510653	+	KNOWN_PSEUDOGENE	ENSG00000236552		RPL13AP5, RPL13A_8_1086, bA196N24.2	99.51	
retro_hsap_616	homo_sapiens	ENSG00000147604		10	100807395	100808079	+	KNOWN_PSEUDOGENE	ENSG00000234109	ENSG00000172987		83.33	
retro_hsap_617	homo_sapiens	ENSG00000167085		10	102008283	102008826	+	KNOWN_PSEUDOGENE	ENSG00000230224	ENSG00000095485		83.98	
retro_hsap_618	homo_sapiens	ENSG00000110958		10	104605351	104605704	+	KNOWN_PSEUDOGENE	ENSG00000236937			78.51	
retro_hsap_619	homo_sapiens	ENSG00000100380		10	104975763	104976551	+	KNOWN_PSEUDOGENE	ENSG00000229256			92.42	
retro_hsap_620	homo_sapiens	ENSG00000197713		10	105005753	105006437	+	KNOWN_PSEUDOGENE	ENSG00000235376			96.05	
retro_hsap_622	homo_sapiens	ENSG00000166913		10	107446079	107446813	+	KNOWN_PSEUDOGENE	ENSG00000213260			81.71	
retro_hsap_623	homo_sapiens	ENSG00000110958		10	110055838	110056080	+	KNOWN_PSEUDOGENE	ENSG00000234544			61.9	
retro_hsap_624	homo_sapiens	ENSG00000215021	ENSG00000269079	10	111288018	111288769	+	KNOWN_PSEUDOGENE	ENSG00000232728			78.35	
retro_hsap_625	homo_sapiens	ENSG00000145741		10	111294409	111294887	+	KNOWN_PSEUDOGENE	ENSG00000237242			57.32	
retro_hsap_626	homo_sapiens	ENSG00000122026		10	111567408	111567879	+	KNOWN_PSEUDOGENE	ENSG00000224907			81.53	
retro_hsap_627	homo_sapiens	ENSG00000029993	ENSG00000269411	10	112210386	112210751	+	KNOWN_PSEUDOGENE	ENSG00000237642			84.55	
retro_hsap_628	homo_sapiens	ENSG00000104979		10	112864713	112865006	+	KNOWN_PSEUDOGENE	ENSG00000213247			72.28	
retro_hsap_629	homo_sapiens	ENSG00000134419		10	114747240	114747620	+	KNOWN_PSEUDOGENE	ENSG00000227560	ENSG00000148737		70.77	
retro_hsap_630	homo_sapiens	ENSG00000196262		10	115242383	115242869	+	KNOWN_PSEUDOGENE	ENSG00000230018			72.46	
retro_hsap_631	homo_sapiens	ENSG00000174748		10	116660480	116661097	+	KNOWN_PSEUDOGENE	ENSG00000226428			84.06	
retro_hsap_632	homo_sapiens	ENSG00000122406		10	118509416	118510202	+	KNOWN_PSEUDOGENE	ENSG00000228195			74.06	
retro_hsap_633	homo_sapiens	ENSG00000100216		10	120403271	120403707	+	KNOWN_PSEUDOGENE	ENSG00000225155			78.08	
retro_hsap_634	homo_sapiens	ENSG00000113456		10	121380579	121381211	+	KNOWN_PSEUDOGENE	ENSG00000234569			90.14	
retro_hsap_635	homo_sapiens	ENSG00000142937		10	121397967	121398591	+	KNOWN_PSEUDOGENE	ENSG00000227437			78.85	
retro_hsap_636	homo_sapiens	ENSG00000134419		10	123473120	123473506	+	KNOWN_PSEUDOGENE	ENSG00000223540			84.62	
retro_hsap_637	homo_sapiens	ENSG00000006047		10	125751263	125752188	+	KNOWN_PSEUDOGENE	ENSG00000213438			71.75	
